protein_id	X14d.1	X14d.2	X14d.3	X21d.2	X21d.3	X21d.4	X28d.1	X28d.2	X28d.3
WP_010967825.1	26.401587	21.238523	29.493799	31.430468	20.539652	37.557537	35.508556	24.153646	26.18071
WP_010967869.1	16.724895	24.027634	20.547537	10.638864	13.671475	14.558024	11.41661	16.783136	14.844861
WP_010967889.1	24.462793	28.788345	28.919106	26.843859	29.270063	22.158533	23.07781	15.278171	11.817836
WP_010967912.1	46.916874	49.397964	61.763947	59.979492	73.351768	55.554619	39.515625	41.144596	34.123703
WP_010967913.1	53.891163	55.622318	62.902115	55.942421	59.180996	41.94759	54.811424	43.161182	48.83688
WP_010967940.1	46.053833	37.661163	41.991428	49.069702	49.250164	44.120975	28.794769	32.067139	23.123976
WP_010967949.1	159.734177	137.922028	132.413528	141.406006	125.96508	142.635208	107.664299	97.292	64.549904
WP_010967956.1	27.088785	26.952959	27.428541	19.339617	17.845942	16.15519	15.566019	15.717916	24.296274
WP_010967959.1	27.290545	28.326986	23.866276	17.364632	17.391537	19.135599	17.863611	18.809311	13.829957
WP_010967981.1	28.664824	32.795677	24.951412	30.892706	27.628178	30.213585	33.737747	25.294544	38.062672
WP_010967991.1	355.164673	325.554932	300.202179	371.965332	369.993378	321.530273	217.273315	237.837006	244.041626
WP_010968025.1	48.65881	47.174297	51.7024	44.407803	41.176537	40.718056	27.353373	33.62553	19.911852
WP_010968037.1	24.522507	19.874771	19.738752	21.874908	18.159094	16.339436	13.595525	6.122921	21.345295
WP_010968050.1	40.725945	36.52681	35.00285	25.801048	33.58205	35.71125	26.664852	18.960142	22.84952
WP_010968061.1	91.098846	94.507614	96.134544	109.637039	103.780083	100.350487	72.24131	75.621552	59.282024
WP_010968067.1	41.87318	64.870995	58.798267	51.061848	58.524502	58.446869	66.114159	54.716591	63.441116
WP_010968083.1	54.960953	54.522648	61.311417	57.230541	48.639912	59.723774	52.614475	49.593651	62.250271
WP_010968086.1	13.598588	8.455428	7.637267	8.999548	7.561511	5.51197	6.391872	4.621394	7.323793
WP_010968124.1	60.608913	48.392422	51.594265	49.839569	39.609673	49.693443	37.377422	26.021551	25.063089
WP_010968125.1	32.681339	37.967396	33.582695	17.567389	20.709658	23.548731	30.716726	29.288515	30.139797
WP_010968140.1	147.726517	131.12709	124.615959	138.118622	122.819969	130.038254	120.025803	113.030037	96.524231
WP_010968180.1	12.629119	12.926383	3.197755	5.321199	5.589688	13.875676	16.512905	19.41773	16.599287
WP_010968184.1	14.381194	7.894843	9.157201	12.589399	10.410491	9.505275	8.67806	12.728106	7.473573
WP_010968208.1	54.034695	52.189915	57.728134	48.279007	49.80209	46.372787	42.027901	39.837669	37.861645
WP_010968212.1	15.14693	22.941175	17.893757	10.774857	13.013386	16.128206	12.043762	12.801394	7.85021
WP_010968213.1	26.914557	30.03755	39.519131	17.102335	31.98971	21.679266	12.918306	16.264265	11.669886
WP_010968221.1	47.908787	30.98455	48.13485	34.57262	31.612072	26.894485	37.947979	46.244717	47.251461
WP_010968299.1	245.998856	253.965942	234.864868	184.128113	203.956894	182.388062	271.946014	244.632324	258.885834
WP_010968381.1	18.615536	18.516878	17.211468	10.857943	10.817353	10.550673	14.3688	17.662451	19.126017
WP_010968382.1	18.913141	12.320414	13.492447	7.559031	6.616199	4.974932	15.987019	6.724885	22.461205
WP_010968387.1	1.6885	4.618568	1.26807	1.017177	2.045705	2.055257	3.459376	4.66437	1.769622
WP_010968392.1	14.059001	10.100004	13.0059	6.912325	9.095242	10.326797	13.122684	8.854566	13.190161
WP_010968416.1	462.044525	471.970947	475.489288	337.20929	324.791016	331.540497	317.820129	313.45575	335.462616
WP_010968424.1	311.800842	362.548218	318.266876	334.607239	313.781006	333.147888	367.31958	371.033691	347.024353
WP_010968430.1	25.420406	27.402403	24.483166	16.266279	27.509163	19.263903	17.642675	17.950756	17.572367
WP_010968442.1	68.767006	64.652626	70.355904	61.496712	64.964935	59.672207	59.440865	64.257965	75.768753
WP_010968457.1	51.724243	58.586597	52.913136	35.871513	33.516518	25.112974	43.691677	30.707779	31.399851
WP_010968472.1	644.405273	652.639404	712.619202	648.752197	602.767395	609.554626	718.603638	835.281006	807.373962
WP_010968501.1	21.712814	19.687458	15.654848	12.792681	11.478494	12.897989	11.278753	15.230488	17.708467
WP_010968503.1	37.40921	33.714718	32.372021	21.457468	21.877748	26.098537	20.451782	17.459272	15.809379
WP_010968505.1	69.129677	80.237831	67.914131	59.539066	52.589252	49.835632	81.747528	75.401192	86.863197
WP_010968577.1	18.083731	17.831345	16.26153	11.40946	11.061168	11.774703	17.106649	28.670893	28.322769
WP_010968588.1	31.234138	32.625027	30.671577	19.71277	18.94919	25.860395	26.185059	24.983343	24.530001
WP_010968592.1	45.852734	43.843975	49.59222	27.896202	39.175289	36.802475	49.954891	46.984501	42.489521
WP_010968599.1	16.825047	8.71203	5.621459	3.282201	8.721701	9.853957	12.189447	6.749434	11.0928
WP_010968614.1	55.331535	70.294144	52.726044	42.251991	45.061222	41.510517	33.677998	37.624084	42.304623
WP_010968633.1	32.322857	29.565737	30.646236	31.136747	33.425007	26.860605	31.262039	26.540472	31.452087
WP_010968649.1	68.685852	73.729927	79.670937	81.891174	65.733406	78.147797	59.710384	64.791908	67.600105
WP_010968662.1	82.29393	74.933525	73.627182	64.589127	59.857559	47.418236	62.964115	64.152847	67.920097
WP_010968680.1	73.121567	78.581055	88.118561	59.057735	52.241909	61.073166	61.01173	71.241798	68.518044
WP_010968681.1	140.480133	137.701889	119.75779	103.793839	124.705498	131.339005	98.762627	89.092224	94.946632
WP_010968682.1	165.051773	149.705093	185.603195	171.012985	171.641144	158.193054	102.572586	91.296745	108.030495
WP_010968683.1	334.79187	260.155823	371.26709	275.132141	256.100464	285.203125	177.198166	196.891693	194.652603
WP_010968712.1	123.44735	110.403717	133.601547	118.534294	137.010422	134.283356	101.323997	76.425491	105.967148
WP_010968733.1	32.796551	22.508675	38.852425	8.956568	10.639927	18.635818	9.093649	14.140334	17.529161
WP_010968742.1	1.294964	5.51694	4.508369	3.985137	5.110363	5.754531	9.349772	8.001026	4.504167
WP_010968756.1	70.296387	59.084435	69.85984	55.427399	57.393326	56.295525	49.877209	54.179729	57.545818
WP_010968765.1	582.170105	527.679504	571.723816	512.368103	525.82959	496.553406	498.043884	542.517822	485.857086
WP_010968778.1	153.986572	125.943916	140.45578	113.488159	99.736694	99.352745	98.504906	97.550407	98.091682
WP_010968784.1	31.848383	26.628735	34.272282	18.532993	23.570465	31.782236	19.617727	30.459333	16.432085
WP_010968788.1	24.185333	22.980946	35.81863	31.227797	34.248631	40.282303	41.265553	43.150562	37.12735
WP_010968791.1	22.019011	23.331459	24.935455	22.268894	29.182245	25.952021	50.161411	25.701836	38.724758
WP_010968811.1	17.572479	15.336309	19.991741	21.321609	32.553795	19.643951	20.496578	26.100073	29.191334
WP_010968812.1	17.438148	20.152288	9.282898	17.080727	12.672742	10.427647	12.694169	7.174109	10.913676
WP_010968815.1	38.830257	20.719902	32.282402	20.119129	25.779327	20.956636	20.220568	24.538307	23.216171
WP_010968846.1	358.551208	423.593689	385.021423	606.783691	590.057129	714.985352	793.532654	622.917297	647.603821
WP_010968853.1	37.728542	38.359821	34.643261	32.955902	33.119869	25.096781	23.011423	20.34137	27.067291
WP_010968860.1	473.730927	435.884308	462.819641	354.644806	349.719696	343.321381	444.048889	487.015533	485.316498
WP_010968863.1	23.92868	30.117937	29.876501	26.33593	30.105509	15.760706	21.438454	32.627724	38.313236
WP_010968868.1	23.37635	25.375772	31.749926	34.306053	36.617764	31.08836	18.404234	30.356596	22.974911
WP_010968871.1	19.489653	11.945581	16.897766	13.435396	20.773111	9.731151	8.658092	6.079047	9.424518
WP_010968872.1	24.498053	23.83576	39.884991	26.824167	25.240484	19.228825	27.484295	27.149696	34.807972
WP_010968882.1	36.238438	23.402679	13.311317	13.426291	14.084097	27.680708	19.694227	16.678438	29.426197
WP_010968900.1	19.358934	19.194349	21.315947	18.108814	12.114029	15.96402	22.551586	18.59573	21.795214
WP_010968920.1	240.089066	201.177567	222.133133	157.563644	162.906372	150.668411	243.225327	239.418411	251.264938
WP_010968926.1	211.460251	218.564972	245.246872	274.382935	270.104828	288.301575	212.06813	220.602921	229.888107
WP_010968930.1	88.68354	90.321609	82.832283	71.174149	56.197174	85.368248	118.078239	133.135559	112.034065
WP_010968965.1	16.274862	13.776978	6.220895	11.49429	3.525993	9.491632	13.809375	8.878002	16.534525
WP_010968973.1	179.357712	181.544495	195.170425	180.6362	166.570892	156.049057	153.251953	160.56456	140.051041
WP_010969000.1	159.915817	136.552979	151.958069	116.137749	98.906029	104.442047	105.849586	117.721481	116.617043
WP_010969008.1	191.056671	206.126373	166.90242	148.609512	161.67099	173.588425	212.03215	193.574203	188.259995
WP_010969013.1	57.111019	64.390587	57.053894	58.79287	32.74229	54.464493	35.378197	46.25367	34.46236
WP_010969016.1	367.84671	369.279083	348.244446	259.360352	251.488876	256.0354	325.90741	335.608887	300.953674
WP_010969030.1	425.822052	365.793243	412.426208	440.09137	450.265503	410.296051	373.171356	412.114746	354.249939
WP_010969036.1	43.898266	46.993637	50.918419	28.662294	32.361382	27.719732	19.232197	20.459869	21.600767
WP_010969046.1	162.718048	177.698624	177.874191	177.293045	151.885422	182.144226	189.491638	149.915604	162.77359
WP_010969074.1	236.016846	222.712158	255.1026	268.437592	231.671371	262.190643	217.238861	211.17984	237.713638
WP_010969080.1	331.348969	316.787323	265.220184	154.124878	197.566727	206.236984	255.117676	209.521606	214.886765
WP_010969097.1	26.899221	24.610731	18.190201	11.266852	17.211231	19.611887	18.805008	18.043474	10.793041
WP_010969100.1	13.475471	14.082176	11.975355	9.399427	6.655855	7.6287	11.593125	8.027578	11.837624
WP_010969105.1	109.446411	118.92852	103.170418	92.151039	102.307396	103.146172	94.879791	94.370583	104.79586
WP_010969117.1	1055.612183	1052.341431	1112.227051	1615.345459	1601.714722	1805.253906	1681.04541	1518.878662	1476.158325
WP_010969118.1	104.692909	100.107018	82.733986	166.368286	150.321075	158.220734	110.726906	99.977249	120.792953
WP_010969141.1	19.803593	18.316843	17.150549	11.213606	14.471417	12.186787	12.432945	14.954987	11.595595
WP_010969145.1	80.332542	76.950836	64.715675	70.984016	76.862648	84.513817	78.914841	112.897949	76.593346
WP_010969159.1	37.144554	38.157593	36.386215	28.332518	24.023876	34.805931	35.937561	44.807194	39.984337
WP_010969184.1	43.109001	27.935125	48.43935	41.268085	42.893318	50.961605	49.627663	32.058559	39.181484
WP_010969190.1	22.16094	30.787897	19.861441	26.116724	23.272198	16.154449	17.845312	22.738297	18.190876
WP_010969199.1	71.826996	58.074787	63.60358	43.732159	52.242962	54.843159	59.915657	62.674923	56.774506
WP_010969200.1	83.910873	86.614059	77.377708	88.428963	70.906212	90.669693	69.873535	70.122749	78.881241
WP_010969214.1	32.755638	33.303524	31.912258	33.510792	24.394958	28.892937	33.115421	37.975433	44.935349
WP_010969216.1	49.762775	47.734486	50.139114	60.363842	49.552708	48.602192	45.132317	56.811169	51.914639
WP_010969223.1	15.932094	10.454134	14.993007	8.705535	5.086275	1.342492	1.685241	4.154655	5.658683
WP_010969258.1	484.1026	462.409576	477.404053	447.261078	458.762421	446.140442	440.256714	447.855011	444.24176
WP_010969270.1	47.571732	55.722008	49.803558	42.306778	33.506645	38.057636	61.908173	62.901005	65.075317
WP_010969273.1	442.228333	478.149078	437.790649	406.48526	427.256409	445.832977	377.568329	358.519836	364.579437
WP_010969286.1	80.005531	92.070213	91.11644	81.009682	60.783081	77.283249	101.344749	92.762886	91.517662
WP_010969295.1	15.421168	25.492117	13.991155	10.880043	12.043447	12.132067	18.557081	15.39659	11.420463
WP_010969297.1	304.017578	351.116333	286.900238	349.664032	320.234528	317.342743	275.108673	253.204712	297.779114
WP_010969321.1	100.043076	122.121124	111.115547	105.060555	95.193581	87.634758	110.880676	135.870865	118.523041
WP_010969326.1	1537.478394	1499.956055	1518.540283	1712.25293	1656.088623	1604.703857	1328.879028	1303.130615	1334.64563
WP_010969340.1	23.220694	23.876747	28.994289	13.777117	18.226957	24.344887	25.258589	20.654127	30.338537
WP_010969341.1	61.92194	63.677849	64.914055	63.423084	66.899391	64.155273	71.753281	80.169136	98.573761
WP_010969342.1	84.857063	76.570427	97.726555	77.529816	67.989754	74.466934	45.813583	42.486618	47.993568
WP_010969343.1	110.874512	103.79705	106.688087	95.35601	85.762497	96.361504	80.390129	71.820526	86.709473
WP_010969356.1	24.855349	27.034542	25.125614	20.536192	19.796843	19.714979	17.010923	15.391948	17.775429
WP_010969364.1	90.071693	79.83963	84.07663	96.121666	89.923492	86.664406	81.602058	63.868561	86.533897
WP_010969390.1	26.835434	37.500656	39.803791	31.06764	27.615952	34.163471	39.917439	44.357056	40.804234
WP_010969398.1	51.790974	52.647198	52.237808	55.089191	48.617733	54.778023	43.647163	49.536667	43.929546
WP_010969404.1	54.805965	40.877441	52.954044	37.455875	28.129841	33.562557	37.02776	36.506611	50.502228
WP_010969413.1	488.26355	450.758484	484.062622	579.934937	533.963562	540.374084	358.001434	417.140808	417.237579
WP_010969419.1	21.532543	18.57193	28.770588	12.740704	23.124344	29.258095	42.481232	37.214798	38.046947
WP_010969420.1	57.523556	50.591904	48.986176	36.035118	39.507439	33.771141	47.110592	48.102127	54.856236
WP_010969442.1	13.525363	15.172186	16.384762	11.000672	13.983111	12.159377	14.765005	9.191576	11.727613
WP_010969445.1	27.984358	36.025303	25.216722	29.383371	25.78875	36.743683	35.958115	27.293362	31.24445
WP_010969460.1	42.021641	43.345779	39.558968	26.829496	33.039856	34.342709	31.639341	41.902958	32.051907
WP_010969474.1	61.76778	64.698845	81.058548	56.537762	61.917213	68.449821	43.859886	51.096455	50.115891
WP_010969475.1	79.098755	89.752563	89.620781	87.847008	94.378761	82.989273	70.162834	72.404564	59.464165
WP_010969501.1	54.037022	66.865387	52.760906	33.805412	38.039627	47.483952	42.984329	41.119682	55.969246
WP_010969507.1	17.940874	11.128496	25.217955	15.476166	16.987944	19.190893	25.152281	19.3106	28.928591
WP_010969521.1	131.953049	115.624748	126.460983	113.152328	119.846756	122.642097	127.154465	133.47731	140.978745
WP_010969546.1	17.081366	12.424649	18.035515	17.180437	17.061769	22.691595	26.243162	22.567591	15.759513
WP_010969547.1	7.503696	6.842174	6.180182	4.377459	2.356663	9.140118	4.002112	4.893816	2.597854
WP_010969553.1	91.733665	100.261871	98.950912	88.967964	82.230484	102.898308	263.990234	250.225464	233.879288
WP_010969557.1	59.664337	56.533451	63.07011	45.831505	48.062183	52.970284	60.046299	67.202858	67.815384
WP_010969558.1	156.359573	119.433479	136.156845	144.980148	161.562729	146.97522	162.518219	232.878662	205.624588
WP_010969563.1	121.79995	113.062256	106.770821	102.326332	100.069458	108.614975	107.660446	103.514282	110.872719
WP_010969590.1	81.635246	74.834412	68.78997	76.903915	69.12664	76.870605	64.37252	69.572197	62.978146
WP_010969601.1	150.364441	175.365417	151.686386	140.414673	153.146347	146.840836	135.994247	130.340179	121.224777
