gene_id	gene_name	acronym	geneProduct	A86	A256	A485	A86256	A86485	dnf2
medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0276301	MtrunA17Chr7g0276301	""	""	0	6.81100915306459	7.33569790471373	6.81146311757699	0	0
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0335621	MtrunA17Chr8g0335621	""	""	5.19185869879122	5.81044547347659	5.66066649918418	4.12956948457584	-3.49862541117986	-0.739510015031728
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0336711	MtrunA17Chr8g0336711	""	""	6.56683182898727	7.61113137661495	7.41653541284926	7.45247876044855	2.40980530032552	5.60268779067126
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0336721	MtrunA17Chr8g0336721	""	""	6.06736486822883	6.9623745787999	6.75791310588789	6.83578311635795	0	4.25808355823326
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0336921	MtrunA17Chr8g0336921	""	""	-3.69895111629562	-2.03552496587864	-7.28272627421201	-7.28272627421201	1.3838401912538	0.172961372665367
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0339051	MtrunA17Chr8g0339051	""	""	7.44247219715637	9.10838910574768	8.40401792908791	8.00290454936246	-3.54155351439567	2.97458991882757
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0339061	MtrunA17Chr8g0339061	""	""	6.74054395785355	8.53420474454333	7.81014191118237	7.28663807984026	-1.88623503403357	2.41605427974007
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0341741	MtrunA17Chr8g0341741	""	""	5.70289821475561	6.34411251830168	4.71868632290969	5.12265113206842	-0.876484178548067	0.0740209794373488
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0343631	MtrunA17Chr8g0343631	""	""	-3.69730757482081	-6.49852890279689	-4.76577125862985	-6.54450901450824	-0.218961642202046	0.778382929761582
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0349101	MtrunA17Chr8g0349101	""	""	1.09624302085257	0.985118661079559	1.04639789500717	0.776405524714947	-5.64831789280237	-4.92648824336532
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0350081	MtrunA17Chr8g0350081	""	""	3.12141403487321	4.0265626350903	5.77381537795571	6.65865497010734	-0.759257926466983	1.25181729999351
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0350091	MtrunA17Chr8g0350091	""	""	4.12937333076659	6.80915809493704	7.68009262856679	7.7730999136287	0	3.33123084784279
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0353061	MtrunA17Chr8g0353061	""	""	-1.14359569640572	0.0171515793697486	-0.50426605264615	-1.05465963010458	-5.38905598557259	-4.78952983857055
