ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map04070	Phosphatidylinositol signaling system	1/72	48/5968	0.0208333333333333	1.72685185185185	0.558690383755442	0.442855409383679	0.709939150182122	0.693064535406995	MtrunA17_Chr7g0256301	1	MtrunA17Chr7g0256301
map05012	Parkinson disease	3/72	204/5968	0.0147058823529412	1.21895424836601	0.35161873209677	0.448925821379092	0.709939150182122	0.693064535406995	MtrunA17_Chr2g0328511/MtrunA17_Chr5g0415771/MtrunA17_Chr4g0008361	3	MtZIP2/TRX/MtrunA17Chr4g0008361
map04148	Efferocytosis	1/72	49/5968	0.0204081632653061	1.69160997732426	0.53715627022861	0.449631492242526	0.709939150182122	0.693064535406995	MtrunA17_Chr6g0462831	1	MtrunA17Chr6g0462831
map05132	Salmonella infection	2/72	126/5968	0.0158730158730159	1.31569664902998	0.395767381987021	0.451743983376777	0.709939150182122	0.693064535406995	MtrunA17_Chr5g0415771/MtrunA17_Chr4g0008361	2	TRX/MtrunA17Chr4g0008361
map05206	MicroRNAs in cancer	1/72	50/5968	0.02	1.65777777777778	0.516109970093201	0.456326294161523	0.709939150182122	0.693064535406995	MtrunA17_Chr6g0452111	1	MtABAB26
map00860	Porphyrin metabolism	1/72	51/5968	0.0196078431372549	1.62527233115468	0.495528963946018	0.462940776557665	0.709939150182122	0.693064535406995	MtrunA17_Chr5g0428201	1	MtrunA17Chr5g0428201
map04071	Sphingolipid signaling pathway	1/72	52/5968	0.0192307692307692	1.59401709401709	0.475392210890996	0.469475889636565	0.709939150182122	0.693064535406995	MtrunA17_Chr2g0295411	1	MtPLD14
map04361	Axon regeneration	1/72	52/5968	0.0192307692307692	1.59401709401709	0.475392210890996	0.469475889636565	0.709939150182122	0.693064535406995	MtrunA17_Chr4g0062941	1	MtrunA17Chr4g0062941
map00052	Galactose metabolism	1/72	55/5968	0.0181818181818182	1.50707070707071	0.417456720976363	0.488614349551115	0.721287849337361	0.704143486195216	MtrunA17_Chr2g0330871	1	MtrunA17Chr2g0330871
map00460	Cyanoamino acid metabolism	1/72	55/5968	0.0181818181818182	1.50707070707071	0.417456720976363	0.488614349551115	0.721287849337361	0.704143486195216	MtrunA17_Chr4g0033231	1	MtrunA17Chr4g0033231
map04144	Endocytosis	2/72	137/5968	0.0145985401459854	1.21005677210057	0.274846986794225	0.495584615438485	0.722970497816143	0.705786139633756	MtrunA17_Chr7g0256301/MtrunA17_Chr2g0295411	2	MtrunA17Chr7g0256301/MtPLD14
map04621	NOD-like receptor signaling pathway	1/72	58/5968	0.0172413793103448	1.42911877394636	0.362880224355284	0.507071643497169	0.731126555740104	0.713748335399932	MtrunA17_Chr5g0415771	1	TRX
map00260	Glycine, serine and threonine metabolism	1/72	61/5968	0.0163934426229508	1.35883424408015	0.311272564326121	0.524871685734403	0.739350683717985	0.721776983256097	MtrunA17_Chr3g0115581	1	MtrunA17Chr3g0115581
map00630	Glyoxylate and dicarboxylate metabolism	1/72	62/5968	0.0161290322580645	1.33691756272401	0.294671615094563	0.53066299073307	0.739350683717985	0.721776983256097	MtrunA17_Chr6g0479141	1	MtGS1a
map02020	Two-component system	1/72	62/5968	0.0161290322580645	1.33691756272401	0.294671615094563	0.53066299073307	0.739350683717985	0.721776983256097	MtrunA17_Chr6g0479141	1	MtGS1a
map02010	ABC transporters	1/72	66/5968	0.0151515151515152	1.25589225589226	0.23099098875956	0.553140204014614	0.762104281086802	0.743989748089832	MtrunA17_Chr6g0452111	1	MtABAB26
map00240	Pyrimidine metabolism	1/72	71/5968	0.0140845070422535	1.16744913928013	0.156841887345067	0.57974882281655	0.778230898837638	0.759733050647949	MtrunA17_Chr6g0488531	1	MtrunA17Chr6g0488531
map00040	Pentose and glucuronate interconversions	1/72	72/5968	0.0138888888888889	1.15123456790123	0.142660621051471	0.584879920791319	0.778230898837638	0.759733050647949	MtrunA17_Chr1g0194231	1	MtrunA17Chr1g0194231
map04113	Meiosis - yeast	1/72	73/5968	0.0136986301369863	1.13546423135464	0.128679597011131	0.589949229764016	0.778230898837638	0.759733050647949	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map04217	Necroptosis	1/72	73/5968	0.0136986301369863	1.13546423135464	0.128679597011131	0.589949229764016	0.778230898837638	0.759733050647949	MtrunA17_Chr6g0479141	1	MtGS1a
