label	category	gene_name	gene_id	acronym	geneProduct	A86_logFC	A256_logFC	A485_logFC	A86256_logFC	A86485_logFC	dnf2_logFC	A86_FDR	A256_FDR	A485_FDR	A86256_FDR	A86485_FDR	dnf2_FDR	A86_sig	A256_sig	A485_sig	A86256_sig	A86485_sig	dnf2_sig
Lb4_Chr1g0148751	Leghemoglobin	MtrunA17Chr1g0148751	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0148751	MtLb4|MtLb1|MtLb2	leghemoglobin4	-0.448124713772947	-0.514867729483431	-0.163584062200882	-0.254489419019803	-2.66304388003843	-3.32804097431825	0.999999979788073	1	1	1	0.00770101716637532	0.000484712820659022	NS	NS	NS	NS	DOWN	DOWN
Lb5_Chr5g0417631	Leghemoglobin	MtrunA17Chr5g0417631	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0417631	MtLb5	leghemoglobin5	-0.449703151522955	-0.882812162733107	-0.912463028998942	-0.90975504082382	-2.87125979792955	-2.89689629260571	0.999999979788073	1	1	0.980453843162657	0.00658112068549469	0.0030048985489492	NS	NS	NS	NS	DOWN	DOWN
Lb6_Chr5g0435621	Leghemoglobin	MtrunA17Chr5g0435621	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0435621	MtLb6|MtLb8	leghemoglobin6	-0.268880537144806	-0.295224795612898	-0.0628760590874202	-0.114273872407971	-2.49300840637897	-3.15822205862529	0.999999979788073	1	1	1	0.00866068940627303	0.000424204897508435	NS	NS	NS	NS	DOWN	DOWN
Lb7_Chr5g0435981	Leghemoglobin	MtrunA17Chr5g0435981	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0435981	MtLb7|MtLb10	leghemoglobin7	-0.323452056868545	-0.338037590928089	-0.00873614855003245	-0.185503834716473	-2.52294570115132	-2.86847093483862	0.999999979788073	1	1	1	0.0110650080124918	0.00166187416074951	NS	NS	NS	NS	DOWN	DOWN
Lb8_Chr1g0197531	Leghemoglobin	MtrunA17Chr1g0197531	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0197531	MtLb8|MtLb4	leghemoglobin8	-0.310499213652061	-0.422392587896869	-0.423527526489941	-0.454682362140939	-1.4430102754458	-2.33348201698857	0.999999979788073	1	1	1	0.313343920777783	0.00185942851681555	NS	NS	NS	NS	NS	DOWN
Lb9_Chr5g0435991	Leghemoglobin	MtrunA17Chr5g0435991	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0435991	MtLb9|MtLb11	leghemoglobin9	-0.288687953786103	-0.269436891375572	-0.210472663632163	-0.254415254039513	-1.17945771459271	-2.2048225598346	0.999999979788073	1	1	1	0.757817299007795	0.00199843095944569	NS	NS	NS	NS	NS	DOWN
Lb10_Chr1g0170851	Leghemoglobin	MtrunA17Chr1g0170851	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0170851	MtLb10|MtLb2	leghemoglobin10	-0.366569995114056	-0.591201200624018	-0.599873108648386	-0.354219079095124	-2.00932981541013	-2.42276217102291	0.999999979788073	1	1	1	0.0383974165733556	0.00308572246672894	NS	NS	NS	NS	DOWN	DOWN
Lb11_Chr7g0270491	Leghemoglobin	MtrunA17Chr7g0270491	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0270491	MtLb1|MtLb12	leghemoglobin11	1.49118020717804	0.0782184960792523	-1.62128614375639	-1.90088465107259	-1.51462217173861	-2.50638501357036	0.342493386682843	1	0.119472711884953	0.0338548570829118	0.25164635796509	0.00146833165945339	NS	NS	NS	DOWN	NS	DOWN
SymCRK_Chr3g0119041	Symbiosis	MtrunA17Chr3g0119041	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0119041	MtSymCRK	symbiotic cys-rich receptor-like kinase	-0.444330318245535	-0.473729550812086	-0.891420897578839	-1.22238700479053	-1.04151993277657	-1.95005750515361	0.999999979788073	1	1	0.359521595372965	1	0.00244449790217032	NS	NS	NS	NS	NS	DOWN
NAD1_Chr7g0222521	Symbiosis	MtrunA17Chr7g0222521	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0222521	MtNAD1	Nodules with Activated Defense 1	-0.666656907418355	-1.00231364881161	-1.1720060772328	-1.20875448119359	-1.04626359431904	-2.31086601875858	0.999999979788073	0.910289949754008	0.463222801237539	0.37258819717018	1	0.000173853814308269	NS	NS	NS	NS	NS	DOWN
Rgene_Chr5g0409991	Defense	MtrunA17Chr5g0409991	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0409991	Disease resistance protein-1	Disease resistance protein, CC-NBS-LRR class	1.02973505914359	1.40367776774674	1.24347930466302	0.814549161152039	-2.29740574503833	0.730801112791323	0.999999979788073	0.35391698971306	0.523813745476699	1	0.0900323416834066	1	NS	NS	NS	NS	NS	NS
PR3_Chr3g0145981	Defense	MtrunA17Chr3g0145981	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0145981	MtPR3	pathogenesis related protein 3 (defense response-activated chitinase)	3.72874778305474	4.52179645726979	4.46547321315795	4.20655590212912	0.779271165554928	4.25923727187008	0.000286611694686804	7.87503330614536e-06	1.00540501673144e-05	1.38384028356959e-05	1	5.09283293312004e-06	UP	UP	UP	UP	NS	UP
PR5_Chr8g0386351	Defense	MtrunA17Chr8g0386351	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0386351	""	""	1.019678725059	2.15836436444371	2.70083636188714	2.26786934454187	0.858746908138006	4.80344696581638	0.999999979788073	0.0470738497604963	0.00584166626787508	0.0283870999392206	1	4.93407999707943e-06	NS	UP	UP	UP	NS	UP
PR10_Chr6g0462311	Defense	MtrunA17Chr6g0462311	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0462311	""	""	3.89596034114106	5.04773078943616	4.56425841041103	4.89472365350538	0.357972627572585	5.65114442316276	0.0457684205358721	0.00104220803987724	0.00351358390020613	0.00135001246358594	1	8.77372887200102e-05	UP	UP	UP	UP	NS	UP
LYK3_Chr5g0439631	Receptor	MtrunA17Chr5g0439631	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0439631	MtLYK3	LysM domain-containing receptor-like kinase 3	1.6545566075007	1.93866168613505	1.92161703584486	1.94885012261417	1.81968059241825	1.17240413465324	0.277265382972501	0.0440312880422827	0.0448744968998436	0.0377996780609774	0.0942974148502224	0.645138444417442	NS	UP	UP	UP	NS	NS
NFP_Chr5g0403371	Receptor	MtrunA17Chr5g0403371	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0403371	MtNFP	Nod factor perception	-0.882406285993906	-0.113986207309367	-0.330608776588843	-0.386328950987624	1.66166912920571	1.08986641663978	0.999999979788073	1	1	1	0.224176099537476	0.797992016036736	NS	NS	NS	NS	NS	NS
NFRe_Chr5g0439571	Receptor	MtrunA17Chr5g0439571	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0439571	MtLYK6	LysM domain-containing receptor-like kinase 6	1.02762494163369	1.22923628997213	1.52321960746765	2.07205878826237	0.0471062041029245	-1.5164695745346	0.999999979788073	0.68528291943255	0.378891039967292	0.0882633672957694	1	0.508415529730075	NS	NS	NS	NS	NS	NS
