ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	geneSymbols	geneID	RichFactor	FoldEnrichment	zScore
BP	GO:0006470	protein dephosphorylation	1/256	118/14453	0.879665125815254	0.910173742895552	0.829620289025643	1	MtrunA17Chr2g0295991	MtrunA17_Chr2g0295991	0.00847457627118644	0.478449417372881	-0.763878449383938
CC	GO:0005618	cell wall	2/181	169/11396	0.753213640764735	0.917916893356001	0.898817031437945	2	MtrunA17Chr7g0246461/MtrunA17Chr1g0194231	MtrunA17_Chr7g0246461/MtrunA17_Chr1g0194231	0.0118343195266272	0.745104449311844	-0.424102232828801
CC	GO:0005840	ribosome	2/181	177/11396	0.775655764969318	0.917916893356001	0.898817031437945	2	MtrunA17Chr2g0295991/MtrunA17Chr5g0417111	MtrunA17_Chr2g0295991/MtrunA17_Chr5g0417111	0.0112994350282486	0.711427412054812	-0.491542921810032
CC	GO:0005739	mitochondrion	6/181	486/11396	0.789835466376094	0.917916893356001	0.898817031437945	6	MtrunA17Chr1g0195391/MtrunA17Chr4g0044831/MtrunA17Chr8g0350901/MtrunA17Chr4g0057771/MtrunA17Chr4g0032371/MtrunA17Chr4g0060261	MtrunA17_Chr1g0195391/MtrunA17_Chr4g0044831/MtrunA17_Chr8g0350901/MtrunA17_Chr4g0057771/MtrunA17_Chr4g0032371/MtrunA17_Chr4g0060261	0.0123456790123457	0.777300320578405	-0.637414831389206
MF	GO:0004683	calcium/calmodulin-dependent protein kinase activity	1/519	45/17556	0.741302356575263	0.932312779741895	0.909573443650629	1	MtrunA17Chr1g0190131	MtrunA17_Chr1g0190131	0.0222222222222222	0.751701991008349	-0.291079455682112
BP	GO:0016567	protein ubiquitination	5/256	456/14453	0.910211535953906	0.936367039860628	0.853495390640384	5	MtrunA17Chr4g0058581/MtrunA17Chr1g0204861/MtrunA17Chr1g0196571/MtrunA17Chr8g0383901/MtrunA17Chr2g0332281	MtrunA17_Chr4g0058581/MtrunA17_Chr1g0204861/MtrunA17_Chr1g0196571/MtrunA17_Chr8g0383901/MtrunA17_Chr2g0332281	0.0109649122807018	0.619046395285088	-1.10999927555017
CC	GO:0009941	chloroplast envelope	1/181	110/11396	0.829611259299326	0.938770635522922	0.919236852409226	1	MtrunA17Chr5g0408291	MtrunA17_Chr5g0408291	0.00909090909090909	0.572375690607735	-0.572513218897607
MF	GO:0140359	ABC-type transporter activity	2/519	91/17556	0.754963809387975	0.939782565569536	0.916861039580036	2	MtrunA17Chr8g0363771/MtABAB26	MtrunA17_Chr8g0363771/MtrunA17_Chr6g0452111	0.021978021978022	0.743441529568697	-0.428262741730259
MF	GO:0043130	ubiquitin binding	1/519	47/17556	0.756410357653529	0.939782565569536	0.916861039580036	1	MtrunA17Chr3g0119361	MtrunA17_Chr3g0119361	0.0212765957446809	0.719714672242037	-0.33581968958223
MF	GO:0051087	protein-folding chaperone binding	1/519	48/17556	0.763630817095977	0.94303805725708	0.920037129031298	1	MtrunA17Chr8g0347891	MtrunA17_Chr8g0347891	0.0208333333333333	0.704720616570328	-0.357538660856324
