label	category	locus_tag	A86	A256	A485	A86256	A86485	dnf2
NIP	N-fixation / Symbiosis	MtrunA17Chr1g0147631	1.59853905419515	2.33862147417851	1.44624234629801	1.00023475939227	0.666840892304894	0.876929597286483
CHIT5a	N-fixation / Symbiosis	MtrunA17Chr1g0149821	0.56865418098674	1.29759389862397	1.23182132988149	0.917873301272247	1.64072015225316	1.77595139342378
CHIT5b	N-fixation / Symbiosis	MtrunA17Chr4g0065511	-0.460729820449988	-0.952053154647579	-1.53290079825097	-0.696599032871996	2.31226458514238	1.05804595305027
NCR051	NCR peptides	MtrunA17Chr5g0433121	-0.65660812964949	-1.59650757319157	-2.2040238465819	-1.98203878832429	1.8230199111947	0.524175740524041
NCR031	NCR peptides	MtrunA17Chr5g0436091	0.618913689925676	1.31700929311126	1.23047068320441	1.04787748030284	-0.0933734093527491	-0.406085567445297
NCR539	NCR peptides	MtrunA17Chr7g0225561	-0.280977507281633	-0.172409344216259	-0.0775759022713385	-0.16069179693564	1.47586354061065	0.968450331614086
NCR252	NCR peptides	MtrunA17Chr2g0302921	-0.15888331343032	-1.10086675231582	-1.74885495891508	-1.58430824373118	1.61099569252061	0.476148847198491
NCR117	NCR peptides	MtrunA17Chr5g0436571	0.0104994385011049	0.185085287151375	0.259468889472256	0.382726198248935	0.268730701096893	0.502576403480146
NCR660	NCR peptides	MtrunA17Chr5g0429331	-0.333192460484278	-1.49886638307084	-2.29961568915872	-1.11751144548834	-1.15852108497114	-0.667861287205927
NCR533	NCR peptides	MtrunA17Chr7g0225531	1.88718226392953	1.83427194081187	1.88694609990997	1.51484963505431	0.725216294088589	0.894431688475532
NCR038	NCR peptides	MtrunA17Chr5g0436051	0.581363045725074	0.478282933299876	0.224410995121001	0.566758355970764	-0.0252812432803298	-0.372315453491118
NCR739	NCR peptides	MtrunA17Chr8g0357471	-1.54387259381267	-3.13469116363197	-3.45209012400283	-3.3755583744686	-1.60159506081679	-2.76239685880291
NCR265	NCR peptides	MtrunA17Chr5g0418951	0.986657587179431	1.70831798832623	1.9373704782531	1.73850879172442	-0.978949747248318	-1.9158933078022
NCR658	NCR peptides	MtrunA17Chr8g0351581	0.816242601629474	0.904601355495359	0.674585112777489	0.516181361027836	0.299134119590571	0.0274387564047174
PR10-1	Defense / Immunity	MtrunA17Chr2g0295001	1.12911086462642	2.29360093882824	3.21783739586644	3.48979922134208	0.115489684944565	2.76636338175712
PR10-4	Defense / Immunity	MtrunA17Chr2g0295141	-0.345884688746668	-0.0143826904291259	1.01625457014069	1.43327735559775	-1.26312427278999	2.1755589293957
PR3	Defense / Immunity	MtrunA17Chr4g0026291	-0.0278138500353876	0.233372384012329	0.208871718979549	0.189996907891025	-0.0602679366345891	-0.0535540045743739
PR4	Defense / Immunity	MtrunA17Chr5g0398561	0.336387918728394	-0.0966433749966564	0.298917483142743	0.771725499232105	0.426206725384511	0.653096536638432
CAPE12	Defense / Immunity	MtrunA17Chr5g0411421	0.258644150266423	0.0881995571468351	0.363734816308059	0.307552623664085	-0.0341368357867968	0.135401740686914
LRK	Defense / Immunity	MtrunA17Chr2g0285861	0.424526131246056	-0.0106829658235616	0.149551611214675	0.636710723188858	-0.649252896188274	-0.497634834209339
DOX	Defense / Immunity	MtrunA17Chr6g0451261	-0.46189331129566	-0.541649066711437	0.0584205747102892	0.45346690306095	0.203993223029413	0.0803057904968652
CP8	Senescence	MtrunA17Chr3g0119321	0.823765751828041	0.578230510350495	1.33845472574303	1.57173468266378	-2.56904911940914	-3.03131362559007
CP5/3	Senescence	MtrunA17Chr3g0119311	0.993903682341742	0.851885464013499	1.49433352559341	1.71436933509594	-0.618537205699382	-1.08045232946291
CP6	Senescence	MtrunA17Chr4g0040881	0.263806659162615	-0.369864415083217	1.27172657260626	0.478702288169658	2.34920641724992	2.59362887224067
CP2	Senescence	MtrunA17Chr3g0119301	-0.260990385846046	0.101392939745683	-0.0740278619777933	-0.395430397673587	-0.0691877178165762	0.0420381077124729
CHITINASE	Senescence	MtrunA17Chr4g0027141	0.984950012002154	-0.0594381260179467	-0.436426687020322	-0.738255513817408	-0.0138330437577247	1.80103131587416
PAP	Senescence	MtrunA17Chr3g0117691	0.802566184466544	2.34738363966599	2.66129111846883	3.38746036147717	0.583664236373076	2.16309815065575
VPE	Senescence	MtrunA17Chr1g0151801	0.512874314548745	0.365828444517498	0.697302209750753	0.604277942517917	2.53254009050293	3.66928014737239
TRX S1	Redox	MtrunA17Chr2g0317721	-0.418952016695816	-0.756661226157544	-1.58094945579043	-1.47289272742642	1.77735716659964	1.17277003815825
GRX9	Redox	MtrunA17Chr1g0195971	1.90794754409806	2.60075372741436	2.87687020773234	2.48989186965864	-2.01927791575335	-0.498016959344581
